"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Auth Token","717","Login - Successful","Retail APIs - QA","Fri Jan 03 22:05:20 GMT 2025","passed","Fri Jan 03 22:05:21 GMT 2025","","Login","",""
"","153","Invalid Account number","Retail APIs - QA","Fri Jan 03 22:05:53 GMT 2025","failed","Fri Jan 03 22:05:53 GMT 2025","Beneficiaries > Add Beneficiary","Transfers","",""
"","373","Invalid pin","Retail APIs - QA","Fri Jan 03 22:05:44 GMT 2025","failed","Fri Jan 03 22:05:44 GMT 2025","Buy Electricity tokens","Bill Payment","",""
"","164","Invalid beneficiary phone number","Retail APIs - QA","Fri Jan 03 22:05:41 GMT 2025","passed","Fri Jan 03 22:05:41 GMT 2025","Buy Data","Bill Payment","",""
"","167","Reset Password - Blank email field","Retail APIs - QA","Fri Jan 03 22:05:34 GMT 2025","failed","Fri Jan 03 22:05:35 GMT 2025","reset","passwords","",""
"Get Auth Token","220","Signin - Blank password","Retail APIs - QA","Fri Jan 03 22:05:31 GMT 2025","passed","Fri Jan 03 22:05:32 GMT 2025","Sign In","Onboarding","",""
"","180","Change Password - Blank new password field","Retail APIs - QA","Fri Jan 03 22:05:36 GMT 2025","passed","Fri Jan 03 22:05:36 GMT 2025","change","passwords","",""
"","166","Invalid pin","Retail APIs - QA","Fri Jan 03 22:05:37 GMT 2025","passed","Fri Jan 03 22:05:38 GMT 2025","Buy Data","Bill Payment","",""
"","181","Forgot Password - Blank email field","Retail APIs - QA","Fri Jan 03 22:05:33 GMT 2025","passed","Fri Jan 03 22:05:33 GMT 2025","forgot","passwords","",""
"","252","Get Referral Details-W/O Id","Retail APIs - QA","Fri Jan 03 22:06:28 GMT 2025","passed","Fri Jan 03 22:06:28 GMT 2025","","Get Referral Details","",""
"","153","No Beneficiary Name","Retail APIs - QA","Fri Jan 03 22:05:53 GMT 2025","passed","Fri Jan 03 22:05:53 GMT 2025","Beneficiaries > Add Beneficiary","Transfers","",""
"","330","Signup - Blank password","Retail APIs - QA","Fri Jan 03 22:05:28 GMT 2025","passed","Fri Jan 03 22:05:29 GMT 2025","Sign Up","Onboarding","",""
