"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","860","Signup - Numbers in name field","Retail APIs - QA","Thu Dec 05 18:08:06 GMT 2024","passed","Thu Dec 05 18:08:06 GMT 2024","Sign Up","Onboarding","",""
"","881","Insufficient balance for a scheduled transfer","Retail APIs - QA","Thu Dec 05 18:08:59 GMT 2024","passed","Thu Dec 05 18:09:00 GMT 2024","Schedule","Transfers","",""
"","168","Add security-questions that exist","Retail APIs - QA","Thu Dec 05 18:09:27 GMT 2024","passed","Thu Dec 05 18:09:27 GMT 2024","Post security Question","Security questions","",""
"","963","Close Account - Invalid account number","Retail APIs - QA","Thu Dec 05 18:09:28 GMT 2024","passed","Thu Dec 05 18:09:29 GMT 2024","","Close Account","",""
"Get Auth Token","199","Login","Retail APIs - QA","Thu Dec 05 18:08:20 GMT 2024","passed","Thu Dec 05 18:08:20 GMT 2024","Login","Bill Payment","",""
"","172","/api/v1/transfer/bulk/download-bank-codes","Retail APIs - QA","Thu Dec 05 18:09:23 GMT 2024","passed","Thu Dec 05 18:09:23 GMT 2024","File Bulk Transfer > download-bank-codes","Transfers","",""
"","499","Get Provider account by internal account","Retail APIs - QA","Thu Dec 05 18:09:36 GMT 2024","passed","Thu Dec 05 18:09:36 GMT 2024","","","",""
"","143","Change Password - Blank new password field","Retail APIs - QA","Thu Dec 05 18:08:20 GMT 2024","passed","Thu Dec 05 18:08:20 GMT 2024","change","passwords","",""
"","151","Blank meter number","Retail APIs - QA","Thu Dec 05 18:08:31 GMT 2024","passed","Thu Dec 05 18:08:31 GMT 2024","Buy Electricity tokens","Bill Payment","",""
"","1314","Wrong bundle amount (More than)","Retail APIs - QA","Thu Dec 05 18:08:24 GMT 2024","failed","Thu Dec 05 18:08:25 GMT 2024","Buy Data","Bill Payment","",""
"","1891","Automate Recurring Transfer","Retail APIs - QA","Thu Dec 05 18:08:57 GMT 2024","passed","Thu Dec 05 18:08:59 GMT 2024","Schedule","Transfers","",""
"","1483","Missing column","Retail APIs - QA","Thu Dec 05 18:09:21 GMT 2024","passed","Thu Dec 05 18:09:22 GMT 2024","File Bulk Transfer > validate-upload","Transfers","",""
"","616","Beneficiary Already Exists","Retail APIs - QA","Thu Dec 05 18:08:39 GMT 2024","failed","Thu Dec 05 18:08:39 GMT 2024","Beneficiaries > Add Beneficiary","Transfers","",""
"","167","Invalid Name Enquiry Request ID","Retail APIs - QA","Thu Dec 05 18:08:49 GMT 2024","passed","Thu Dec 05 18:08:49 GMT 2024","Intra Transfer","Transfers","",""
"","544","Invalid Pin","Retail APIs - QA","Thu Dec 05 18:08:48 GMT 2024","failed","Thu Dec 05 18:08:49 GMT 2024","Intra Transfer","Transfers","",""
"","560","Get Rule List-No Auth","Retail APIs - QA","Thu Dec 05 18:09:31 GMT 2024","passed","Thu Dec 05 18:09:32 GMT 2024","","Get Rule List","",""
"","168","Blank - Beneficiary name","Retail APIs - QA","Thu Dec 05 18:08:41 GMT 2024","passed","Thu Dec 05 18:08:41 GMT 2024","Beneficiaries > Add Beneficiary","Transfers","",""
"","1421","Schedule Bulk Transfer","Retail APIs - QA","Thu Dec 05 18:09:06 GMT 2024","passed","Thu Dec 05 18:09:07 GMT 2024","Bulk Transfer","Transfers","",""
"","1020","Get Rule List","Retail APIs - QA","Thu Dec 05 18:09:30 GMT 2024","passed","Thu Dec 05 18:09:31 GMT 2024","","Get Rule List","",""
"","10009","Valid entry","Retail APIs - QA","Thu Dec 05 18:09:10 GMT 2024","passed","Thu Dec 05 18:09:20 GMT 2024","File Bulk Transfer > validate-upload","Transfers","",""
"","1977","Sucessful transfer","Retail APIs - QA","Thu Dec 05 18:09:07 GMT 2024","passed","Thu Dec 05 18:09:09 GMT 2024","File Bulk Transfer > process-transfer","Transfers","",""
"","171","Successful cable bundle purchase","Retail APIs - QA","Thu Dec 05 18:08:33 GMT 2024","failed","Thu Dec 05 18:08:33 GMT 2024","Buy Cable package","Bill Payment","",""
"","1805","New Beneficiary","Retail APIs - QA","Thu Dec 05 18:08:42 GMT 2024","passed","Thu Dec 05 18:08:44 GMT 2024","Beneficiaries","Transfers","",""
"","950","Signup - Invalid countrycode","Retail APIs - QA","Thu Dec 05 18:08:11 GMT 2024","passed","Thu Dec 05 18:08:12 GMT 2024","Sign Up","Onboarding","",""
"","204","Add security-questions","Retail APIs - QA","Thu Dec 05 18:09:26 GMT 2024","passed","Thu Dec 05 18:09:27 GMT 2024","Post security Question","Security questions","",""
"","303","/api/v1/transfer/bulk/download-template","Retail APIs - QA","Thu Dec 05 18:09:22 GMT 2024","passed","Thu Dec 05 18:09:23 GMT 2024","File Bulk Transfer > download-template","Transfers","",""
"","1071","Invalid pin","Retail APIs - QA","Thu Dec 05 18:08:30 GMT 2024","failed","Thu Dec 05 18:08:31 GMT 2024","Buy Electricity tokens","Bill Payment","",""
"","3476","Successful Intra Transfer","Retail APIs - QA","Thu Dec 05 18:08:44 GMT 2024","failed","Thu Dec 05 18:08:48 GMT 2024","Intra Transfer","Transfers","",""
"Get Auth Token","221","Login - Empty Field","Retail APIs - QA","Thu Dec 05 18:08:02 GMT 2024","passed","Thu Dec 05 18:08:03 GMT 2024","","Login","",""
"","131","Bet Account Funding with negative amount","Retail APIs - QA","Thu Dec 05 18:08:35 GMT 2024","passed","Thu Dec 05 18:08:35 GMT 2024","Bet Funding","Bill Payment","",""
"","156","Airtime purchase with negative amount","Retail APIs - QA","Thu Dec 05 18:08:38 GMT 2024","passed","Thu Dec 05 18:08:38 GMT 2024","Buy Airtime","Bill Payment","",""
"","179","Successful prepaid token purchase with negative amount","Retail APIs - QA","Thu Dec 05 18:08:27 GMT 2024","passed","Thu Dec 05 18:08:27 GMT 2024","Buy Electricity tokens","Bill Payment","",""
"","224","Signup - Blank username","Retail APIs - QA","Thu Dec 05 18:08:11 GMT 2024","passed","Thu Dec 05 18:08:11 GMT 2024","Sign Up","Onboarding","",""
"","2318","Schedule a transfer directly","Retail APIs - QA","Thu Dec 05 18:08:49 GMT 2024","passed","Thu Dec 05 18:08:52 GMT 2024","Intra Transfer","Transfers","",""
"","173","Change Password - Mismatched password","Retail APIs - QA","Thu Dec 05 18:08:19 GMT 2024","passed","Thu Dec 05 18:08:19 GMT 2024","change","passwords","",""
"","1294","Successful Schedule","Retail APIs - QA","Thu Dec 05 18:08:56 GMT 2024","passed","Thu Dec 05 18:08:57 GMT 2024","Schedule","Transfers","",""
"","1063","Get Account","Retail APIs - QA","Thu Dec 05 18:08:20 GMT 2024","passed","Thu Dec 05 18:08:21 GMT 2024","Login","Bill Payment","",""
"","361","Invalid pin input","Retail APIs - QA","Thu Dec 05 18:08:38 GMT 2024","failed","Thu Dec 05 18:08:38 GMT 2024","Buy Airtime","Bill Payment","",""
"","374","Invalid Account Details for one transfer","Retail APIs - QA","Thu Dec 05 18:09:05 GMT 2024","passed","Thu Dec 05 18:09:06 GMT 2024","Bulk Transfer","Transfers","",""
"","86","Fetch unregistered user","Retail APIs - QA","Thu Dec 05 18:09:23 GMT 2024","passed","Thu Dec 05 18:09:23 GMT 2024","username > {username}","Account","",""
"","161","Successful Schedule - Negative amount","Retail APIs - QA","Thu Dec 05 18:08:57 GMT 2024","passed","Thu Dec 05 18:08:57 GMT 2024","Schedule","Transfers","",""
"","1329","Signup - Existing Phone No","Retail APIs - QA","Thu Dec 05 18:08:06 GMT 2024","passed","Thu Dec 05 18:08:08 GMT 2024","Sign Up","Onboarding","",""
"","1277","Personal","Retail APIs - QA","Thu Dec 05 18:09:33 GMT 2024","passed","Thu Dec 05 18:09:34 GMT 2024","","Sms opt in-and-out","",""
