"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","131","Invalid Amount","Retail APIs - QA","Sun Dec 22 20:03:39 GMT 2024","passed","Sun Dec 22 20:03:39 GMT 2024","Buy Airtime","Bill Payment","",""
"","1242","Verify email - Invalid OTP","Retail APIs - QA","Sun Dec 22 20:03:17 GMT 2024","passed","Sun Dec 22 20:03:18 GMT 2024","Verify Email","Onboarding","",""
"","142","Invalid phone number","Retail APIs - QA","Sun Dec 22 20:03:28 GMT 2024","passed","Sun Dec 22 20:03:28 GMT 2024","Buy Data","Bill Payment","",""
"","722","Signup - Existing username","Retail APIs - QA","Sun Dec 22 20:03:10 GMT 2024","passed","Sun Dec 22 20:03:11 GMT 2024","Sign Up","Onboarding","",""
"","1589","Invalid entry","Retail APIs - QA","Sun Dec 22 20:04:03 GMT 2024","passed","Sun Dec 22 20:04:04 GMT 2024","File Bulk Transfer > validate-upload","Transfers","",""
"","1707","Signup - Invalid countrycode","Retail APIs - QA","Sun Dec 22 20:03:14 GMT 2024","passed","Sun Dec 22 20:03:15 GMT 2024","Sign Up","Onboarding","",""
"","3548","Successful Inter Transfer","Retail APIs - QA","Sun Dec 22 20:03:47 GMT 2024","failed","Sun Dec 22 20:03:51 GMT 2024","Inter Transfer","Transfers","",""
"","10","New Request","Retail APIs - QA","Sun Dec 22 20:04:10 GMT 2024","broken","Sun Dec 22 20:04:10 GMT 2024","","Account Termination","",""
"","188","Change Password - Blank old password field","Retail APIs - QA","Sun Dec 22 20:03:23 GMT 2024","passed","Sun Dec 22 20:03:23 GMT 2024","change","passwords","",""
"","134","Blank meter number","Retail APIs - QA","Sun Dec 22 20:03:32 GMT 2024","passed","Sun Dec 22 20:03:32 GMT 2024","Buy Electricity tokens","Bill Payment","",""
"","175","Add security-questions","Retail APIs - QA","Sun Dec 22 20:04:09 GMT 2024","passed","Sun Dec 22 20:04:09 GMT 2024","Post security Question","Security questions","",""
"","211","Create Account - Blank account type","Retail APIs - QA","Sun Dec 22 20:04:08 GMT 2024","passed","Sun Dec 22 20:04:08 GMT 2024","Create account","Account","",""
"","301","Invalid phone number","Retail APIs - QA","Sun Dec 22 20:03:39 GMT 2024","passed","Sun Dec 22 20:03:40 GMT 2024","Buy Airtime","Bill Payment","",""
"","399","Signup - Referralcode/caseSensitive","Retail APIs - QA","Sun Dec 22 20:03:13 GMT 2024","passed","Sun Dec 22 20:03:13 GMT 2024","Sign Up","Onboarding","",""
